misc/nupdates,misc/total_timesteps,fps,eprewmean,loss/policy_entropy,loss/policy_loss,loss/value_loss
4160,1997280,293,13.192566669999998,1.3795016050338744,-0.001226424565538764,33.12166786789894
4180,2006880,293,16.4327675,1.3805433630943298,0.019057346694171428,29.35338501930237
4200,2016480,293,10.548365119999998,1.3822762966156006,-0.004195666988380253,4.084117421507836
4220,2026080,293,14.568254230000003,1.382749617099762,-0.007570753805339336,7.772456622123718
4240,2035680,293,18.77946862,1.3821053385734559,-0.005272381752729416,7.763515782356262
4260,2045280,293,14.168610260000001,1.382030200958252,-0.00114750936627388,7.232612508535385
4280,2054880,293,16.89687574,1.3819338917732238,-0.002999253571033478,10.412327873706818
4300,2064480,293,16.13559684,1.3818364262580871,-0.01000615858938545,1.807679858803749
4320,2074080,293,9.25718863,1.3820263981819152,-0.00019162856042385102,15.93519851565361
4340,2083680,293,13.910151710000001,1.3823950290679932,-0.00951484553515911,13.796153938770294
4360,2093280,293,13.556428529999998,1.3829041123390198,-0.006997824448626488,0.5922372177243233
4380,2102880,293,13.645285459999998,1.382961893081665,-0.0020491540431976317,2.351109504699707
4400,2112480,293,18.461323580000002,1.3830060958862305,-0.005592768522910773,2.140495020151138
4420,2122080,293,9.889410250000001,1.3815810680389404,0.0005056843161582947,10.357244616746902
4440,2131680,293,13.32022325,1.38079434633255,-0.00628560334444046,13.366677007079124
4460,2141280,293,12.140708479999999,1.3799177646636962,-0.0076946869492530824,3.1439364552497864
4480,2150880,293,16.88167482,1.379207706451416,-0.003382610436528921,0.5858356840908527
4500,2160480,293,17.091269590000003,1.3778977513313293,0.0006323716137558222,19.835868038237095
4520,2170080,293,13.35944151,1.3777798652648925,-0.0031825102865695953,9.707570646703243
4540,2179680,293,16.719742059999998,1.37671058177948,0.00335911400616169,10.70060863494873
4560,2189280,293,10.91709766,1.3768466234207153,0.0002646546810865402,15.229678320884705
4580,2198880,293,12.2905606,1.3775853991508484,-0.005007641017436981,23.011884313821792
4600,2208480,293,11.629534369999998,1.3775139451026917,0.004225858487188816,9.386727428436279
4620,2218080,293,16.2378939,1.3785608887672425,0.06439952647779137,3.5971174776554107
4640,2227680,293,11.071727870000002,1.378315031528473,-0.004316310491412878,1.2105042099952699
4660,2237280,293,11.250977390000001,1.377548134326935,0.0028625130653381348,13.439759242534638
4680,2246880,293,11.7337092,1.3775065541267395,-0.010898510366678238,4.09991779923439
4700,2256480,293,10.455674610000003,1.3772624254226684,-0.0017084455117583274,6.058327460289002
4720,2266080,293,9.0945704,1.3767442464828492,-0.0032128274440765383,5.722448548674583
4740,2275680,293,10.59955261,1.3765080451965332,-0.004998356010764838,4.108950519561768
4760,2285280,293,12.941081709999999,1.3759902477264405,-0.003223004937171936,12.98283660709858
4780,2294880,293,16.69063406,1.3761805415153503,-0.0002199809066951275,2.5677261143922805
4800,2304480,293,13.48091652,1.375883197784424,-0.0031141169369220735,14.67117934525013
4820,2314080,293,15.98828809,1.3762989044189453,-0.0016528885083971546,0.6044165641069412
4840,2323680,293,12.339162579999998,1.3773277878761292,-0.0006138540804386139,10.256090819835663
4860,2333280,292,10.48118745,1.3778647184371948,0.0018723729997873306,8.692950582504272
4880,2342880,292,12.990159239999999,1.3788596868515015,-0.0023427360225468873,0.7110647082328796
4900,2352480,292,12.60535187,1.3790050268173217,-0.009768220037221909,0.41196177899837494
4920,2362080,292,17.83848458,1.3801048278808594,-0.011788579728454351,7.969170767068863
4940,2371680,292,15.25671038,1.3801617980003358,-0.006193307833746076,7.1729610681533815
4960,2381280,292,14.362473660000001,1.3820663690567017,-0.0006157867610454559,1.652449019253254
4980,2390880,292,11.773122560000001,1.3827695369720459,-0.0007531631737947464,10.442410695552827
5000,2400480,292,13.067730539999998,1.3825612664222717,-0.0008814097149297595,0.9457042783498764
5020,2410080,292,10.351771809999995,1.3817310094833375,-0.004423736035823822,5.085013964772225
5040,2419680,292,13.702160450000001,1.3825334548950194,7.368517108261586e-05,9.925039070844651
5060,2429280,292,12.579586520000003,1.3823593854904175,-0.0006108269095420838,11.062207788228989
5080,2438880,292,13.89296214,1.3817010045051574,-0.0012580111622810363,16.60509415268898
5100,2448480,292,14.248091800000003,1.3816396236419677,0.004306471347808838,3.5088671445846558
5120,2458080,292,11.422186229999998,1.381210708618164,-0.002168305218219757,19.055175018310546
5140,2467680,292,11.16968915,1.381361722946167,-0.002797498553991318,1.096085685491562
5160,2477280,291,10.82811318,1.383402979373932,0.005321904318407178,5.137628124654293
5180,2486880,291,11.878147859999999,1.3820820808410645,-0.002146976441144943,7.715212489664554
5200,2496480,291,12.23350578,1.383845615386963,-0.0007169200340285897,1.675943559408188
5220,2506080,291,13.8265806,1.384304451942444,-0.0029471464455127715,13.895995286107063
5240,2515680,291,17.004623780000003,1.385158634185791,0.0013961069285869598,11.042978596687316
5260,2525280,291,14.621044109999998,1.385338044166565,0.0010190867469646037,19.006813287734985
5280,2534880,291,10.788778160000001,1.385485541820526,0.004241535160690546,1.303541925549507
5300,2544480,291,8.98284895,1.3845776796340943,-0.008554176613688468,5.265229213237762
5320,2554080,291,9.73115219,1.3838321447372437,0.0013604830950498582,9.441976422071457
5340,2563680,291,13.27587854,1.3842468500137328,0.0011539831757545471,8.124153617024422
5360,2573280,291,14.577411960000001,1.3849242329597473,-0.00288090743124485,12.704555749893188
5380,2582880,291,12.554469199999998,1.3856278300285338,-0.009336981270462275,0.548751637339592
5400,2592480,291,8.231117429999998,1.3861673831939698,-0.011961749102920295,5.360378158092499
5420,2602080,291,14.922124329999999,1.3856988906860352,-0.0003408007323741913,1.2537234038114549
5440,2611680,291,9.59110652,1.385543656349182,-0.004201016202569008,3.226048156619072
5460,2621280,291,9.147951780000001,1.3850372195243836,3.538280725479126e-06,8.129942607879638
5480,2630880,291,7.7029103899999996,1.3865729808807372,0.004959450848400593,6.893088924884796
5500,2640480,291,16.39643359,1.3862393021583557,-0.002073767501860857,9.06296784877777
5520,2650080,291,10.984832249999997,1.3866071105003357,-0.003215579182142392,3.879409724473953
5540,2659680,291,16.89727118,1.3854860305786132,-0.013174732215702534,2.3350054413080215
5560,2669280,290,16.74325104,1.387040615081787,-0.0008559741079807281,4.30365287065506
5580,2678880,290,16.1039321,1.3861233711242675,-0.0026858121156692503,8.774004882574081
5600,2688480,290,16.95013857,1.387011218070984,-0.0017907783389091493,16.80873245596886
5620,2698080,290,12.962204569999999,1.3882933020591737,-0.001691671460866928,1.4676737278699874
5640,2707680,290,16.86280717,1.3879549384117127,-0.0032479770481586455,0.6144619464874268
5660,2717280,290,15.93776626,1.3887436747550965,-0.002752336114645004,5.075805106759072
5680,2726880,290,17.25108685,1.3885910034179687,-0.011112627759575843,3.8555120080709457
5700,2736480,290,13.930383280000001,1.3881606221199037,0.0070367418229579926,5.8143969714641575
5720,2746080,290,17.059315579999996,1.387807035446167,0.000522603839635849,3.328484317660332
5740,2755680,290,14.809604349999997,1.3873968243598938,-0.0028188953176140783,8.620647329092026
5760,2765280,290,10.430516930000001,1.386524224281311,-0.0005557545460760594,4.0115867257118225
5780,2774880,290,12.46041953,1.38577241897583,-0.006880814582109452,0.5352537751197814
5800,2784480,290,14.80592797,1.3852854251861573,-0.0006837910157628357,2.2408425487577914
5820,2794080,290,15.8218487,1.385418748855591,-0.0050209766253829,12.168723583221436
